method_id,selection_mechanism,information_inputs,actual_run_artifact,run_code_commit,population_model_protocol,candidate_grid_frames,max_tiles_video,cost_averaging_unit,mean_kept_frames,mean_visual_tokens,question_micro_accuracy,video_macro_accuracy,mean_total_seconds,mean_proxy_seconds,hardware,exposure_status,validity_limitations,supported_thesis_claim
dino_diversity128,semantic_proxy,future candidate DINOv2 embeddings; diversity minus 0.01 log temporal cost,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/dinov2_semdiv_128_l001_log_mtv48/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,66.44776119402985,16622.738805970148,0.4925373134328358,0.4900504257647115,54.59438387830325,10.96143662708867,NVIDIA RTX PRO 6000 Blackwell,test-exposed exploratory setting,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
question_relevance128,query_aware_semantic_proxy,question and choices plus future candidate semantic embeddings,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_v5_pareto_mtv48/question_relevance_128_l001_log_mtv48/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,48,question,109.25373134328358,23636.33582089552,0.4925373134328358,0.479388468674183,122.77730777237647,17.104544778679386,NVIDIA H100 NVL,test-exposed exploratory setting,Uses question and answer choices; distinct information class from question-agnostic acquisition.,Proxy overhead/accuracy comparator evidence under one exposed setting.
uniform256,uniform,none; uniform 256-point candidate grid,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2_highres/s2_highres_uniform_256/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,256.0,44405.432835820895,0.5,0.5178761714476,221.05964121770648,0.0,NVIDIA H100 NVL,historical repeatedly exposed HLVid test,Early bundle omits exact run commit; timing mixes decode/cache states.,Reference frame/accuracy curve.
pixel256_t002,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .02,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2b_highres_pixel_mse_256_t002/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,239.9402985074627,42161.86567164179,0.48134328358208955,0.49448408734123017,324.9310262606796,29.163191069345817,NVIDIA H100 NVL,test-exposed threshold sweep,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
pixel256_t003,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .03,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2b_highres_pixel_mse_256_t003/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,229.73134328358208,40638.388059701494,0.5074626865671642,0.5257920650777793,238.876252331744,27.90468833233932,NVIDIA H100 NVL,test-exposed threshold sweep,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
pixel256_t004,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .04,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2_highres_pixel_mse_256_t004/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,211.52238805970148,37885.149253731346,0.5298507462686567,0.5371711621711622,206.41345483667232,24.89624833815936,NVIDIA H100 NVL,best observed test-exposed threshold; exploratory only,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
pixel256_t005,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .05,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2b_highres_pixel_mse_256_t005/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,199.9402985074627,35976.21641791045,0.4925373134328358,0.4752045573474145,203.32123762274634,25.28101807810738,NVIDIA H100 NVL,test-exposed threshold sweep,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
pixel256_t006,pixel_proxy,future candidate RGB tiles; largest gap below Pixel MSE threshold .06,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2b_highres_pixel_mse_256_t006/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,188.47761194029852,34072.0,0.47761194029850745,0.4466331287759859,187.35778240358923,22.941207535913275,NVIDIA H100 NVL,test-exposed threshold sweep,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Bounded descriptive evidence: some proxy settings retained similar observed QA with fewer kept frames.
siglip256_t00125,perceptual_proxy,future candidate SigLIP embeddings; threshold .00125,/home/stud/latn/AutoGaze/outputs/hlvid/proxy_sampling_s2b_highres/s2_highres_siglip_256_t00125/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,256,48,question,239.52238805970148,42015.78358208955,0.4962686567164179,0.5029411065125351,270.41752827141534,10.027937813724979,NVIDIA H100 NVL,test-exposed exploratory setting,Future candidates are decoded/scored; setting was inspected on repeatedly exposed HLVid test.,Proxy overhead/accuracy comparator evidence under one exposed setting.
learned_dino_delta,learned_delta,"current 16-frame AutoGaze mean-vision state plus effective_fps, frame_count and start",/home/stud/latn/AutoGaze/outputs/hlvid/learned_delta_dino_semnovel_l001_mtv1/results.jsonl,,HLVid 268 questions/77 videos; NVILA-8B-HD-Video; standalone A-D decoding,128,1,question,48.0,,0.44029850746268656,0.4346177631891917,,,,historical repeatedly exposed HLVid test,"Noncausal teacher, short-clip/full-duration-grid mismatch, one realized schedule; max_tiles_video=1 versus max_tiles_video=48 references; no matched-resolution uniform-48 QA run.",Negative: deployed learned policy collapsed to a fixed schedule; adaptive benefit not established.
